Código | Item | Linha | Coluna
23 | program | 1 | 1
24 | valores_mistos | 1 | 9
7 | ; | 1 | 23
24 | uses | 4 | 1
24 | crt | 4 | 6
7 | ; | 4 | 9
24 | const | 6 | 1
24 | PI_VAL | 8 | 3
15 | := | 8 | 19
24 | 3 | 8 | 22
2 | . | 8 | 23
24 | 14159265 | 8 | 24
7 | ; | 8 | 32
24 | EULER_VAL | 9 | 3
15 | := | 9 | 19
24 | 2 | 9 | 22
2 | . | 9 | 23
24 | 71828182 | 9 | 24
7 | ; | 9 | 32
24 | GRAVITY | 10 | 3
15 | := | 10 | 19
24 | 9 | 10 | 22
2 | . | 10 | 23
24 | 80665 | 10 | 24
7 | ; | 10 | 29
24 | LIGHT_SPEED | 11 | 3
15 | := | 11 | 19
24 | 2 | 11 | 22
2 | . | 11 | 23
24 | 99792458e8 | 11 | 24
7 | ; | 11 | 34
24 | GOLDEN_RATIO | 12 | 3
15 | := | 12 | 19
24 | 1 | 12 | 22
2 | . | 12 | 23
24 | 61803398 | 12 | 24
7 | ; | 12 | 32
24 | AVOGADRO | 13 | 3
15 | := | 13 | 19
24 | 6 | 13 | 22
2 | . | 13 | 23
24 | 02214076e23 | 13 | 24
7 | ; | 13 | 35
24 | PLANCK | 14 | 3
15 | := | 14 | 19
24 | 6 | 14 | 22
2 | . | 14 | 23
24 | 62607015e-34 | 14 | 24
7 | ; | 14 | 36
24 | ELECTRON_CHARGE | 15 | 3
15 | := | 15 | 19
24 | 1 | 15 | 22
2 | . | 15 | 23
24 | 602176634e-19 | 15 | 24
7 | ; | 15 | 37
24 | MASK_FLAGS | 18 | 3
15 | := | 18 | 19
24 | 0xFF00 | 18 | 22
7 | ; | 18 | 28
24 | ERROR_CODE | 19 | 3
15 | := | 19 | 19
24 | 0x1A3F | 19 | 22
7 | ; | 19 | 28
24 | var | 21 | 1
3 | : | 22 | 4
24 | i | 22 | 3
25 | integer | 22 | 6
7 | ; | 22 | 13
28 | begin | 24 | 1
24 | clrscr | 25 | 3
7 | ; | 25 | 9
39 | writeln | 27 | 3
4 | ( | 27 | 10
27 | Demonstração de Valores Mistos | 27 | 12
5 | ) | 27 | 43
7 | ; | 27 | 44
39 | writeln | 28 | 3
4 | ( | 28 | 10
27 | ============================= | 28 | 12
5 | ) | 28 | 42
7 | ; | 28 | 43
39 | writeln | 29 | 3
7 | ; | 29 | 10
39 | writeln | 30 | 3
4 | ( | 30 | 10
27 | Valores Float Definidos: | 30 | 12
5 | ) | 30 | 37
7 | ; | 30 | 38
39 | writeln | 31 | 3
4 | ( | 31 | 10
27 | ------------------------ | 31 | 12
5 | ) | 31 | 37
7 | ; | 31 | 38
39 | writeln | 32 | 3
4 | ( | 32 | 10
27 | 1. PI............:  | 32 | 12
1 | , | 32 | 32
3 | : | 32 | 40
3 | : | 32 | 42
24 | PI_VAL08 | 32 | 35
5 | ) | 32 | 44
7 | ; | 32 | 45
39 | writeln | 33 | 3
4 | ( | 33 | 10
27 | 2. Número de Euler:  | 33 | 12
1 | , | 33 | 33
3 | : | 33 | 44
3 | : | 33 | 46
24 | EULER_VAL08 | 33 | 36
5 | ) | 33 | 48
7 | ; | 33 | 49
39 | writeln | 34 | 3
4 | ( | 34 | 10
27 | 3. Gravidade......:  | 34 | 12
1 | , | 34 | 33
3 | : | 34 | 42
3 | : | 34 | 44
24 | GRAVITY05 | 34 | 36
5 | ) | 34 | 46
7 | ; | 34 | 47
39 | writeln | 35 | 3
4 | ( | 35 | 10
27 | 4. Velocidade Luz.:  | 35 | 12
1 | , | 35 | 33
3 | : | 35 | 46
3 | : | 35 | 48
24 | LIGHT_SPEED00 | 35 | 36
5 | ) | 35 | 50
7 | ; | 35 | 51
39 | writeln | 36 | 3
4 | ( | 36 | 10
27 | 5. Razão Áurea....:  | 36 | 12
1 | , | 36 | 33
3 | : | 36 | 47
3 | : | 36 | 49
24 | GOLDEN_RATIO08 | 36 | 36
5 | ) | 36 | 51
7 | ; | 36 | 52
39 | writeln | 37 | 3
4 | ( | 37 | 10
27 | 6. Número Avogadro:  | 37 | 12
1 | , | 37 | 33
3 | : | 37 | 43
3 | : | 37 | 45
24 | AVOGADRO00 | 37 | 36
5 | ) | 37 | 47
7 | ; | 37 | 48
39 | writeln | 38 | 3
4 | ( | 38 | 10
27 | 7. Constante Planck:  | 38 | 12
