Código | Item | Linha | Coluna
23 | program | 1 | 1
47 | exs2 | 1 | 9
7 | ; | 1 | 13
24 | var | 3 | 1
47 | n1 | 3 | 5
1 | , | 3 | 7
47 | n2 | 3 | 8
1 | , | 3 | 10
47 | n3 | 3 | 11
1 | , | 3 | 13
47 | media | 3 | 14
1 | , | 3 | 19
47 | exame | 3 | 20
3 | : | 3 | 25
29 | real | 3 | 27
7 | ; | 3 | 31
31 | begin | 5 | 1
7 | ; | 5 | 6
47 | clrscr | 7 | 2
7 | ; | 7 | 8
42 | writeln | 8 | 2
4 | ( | 8 | 10
30 | caro usuario agora calcularemos a media de 3 notas e diremos sua situacao. | 8 | 12
5 | ) | 8 | 87
7 | ; | 8 | 88
41 | write | 9 | 2
4 | ( | 9 | 8
30 | para prosseguir tecle enter | 9 | 10
5 | ) | 9 | 38
7 | ; | 9 | 39
47 | readkey | 10 | 2
7 | ; | 10 | 9
47 | clrscr | 12 | 2
7 | ; | 12 | 8
42 | writeln | 13 | 2
4 | ( | 13 | 10
30 | por favor digite a primeira nota  | 13 | 12
5 | ) | 13 | 46
7 | ; | 13 | 47
44 | readln | 14 | 2
4 | ( | 14 | 8
47 | n1 | 14 | 9
5 | ) | 14 | 11
7 | ; | 14 | 12
47 | clrscr | 16 | 2
7 | ; | 16 | 8
42 | writeln | 17 | 2
4 | ( | 17 | 10
30 | por favor digite a segunda nota  | 17 | 12
5 | ) | 17 | 45
7 | ; | 17 | 46
44 | readln | 18 | 2
4 | ( | 18 | 8
47 | n2 | 18 | 9
5 | ) | 18 | 11
7 | ; | 18 | 12
47 | clrscr | 20 | 2
7 | ; | 20 | 8
42 | writeln | 21 | 2
4 | ( | 21 | 10
30 | por favor digite a terceira nota  | 21 | 12
5 | ) | 21 | 46
7 | ; | 21 | 47
44 | readln | 22 | 2
4 | ( | 22 | 8
47 | n3 | 22 | 9
5 | ) | 22 | 11
7 | ; | 22 | 12
47 | media | 29 | 2
15 | := | 29 | 7
4 | ( | 29 | 10
47 | n1 | 29 | 11
8 | + | 29 | 13
47 | n2 | 29 | 14
8 | + | 29 | 16
47 | n3 | 29 | 17
5 | ) | 29 | 19
11 | / | 29 | 20
25 | 3 | 29 | 21
7 | ; | 29 | 22
47 | exame | 30 | 2
15 | := | 30 | 7
25 | 6 | 30 | 10
9 | - | 30 | 11
47 | media | 30 | 12
7 | ; | 30 | 17
47 | clrscr | 32 | 2
7 | ; | 32 | 8
38 | if | 36 | 3
4 | ( | 36 | 6
47 | media | 36 | 7
18 | <= | 36 | 12
26 | 10 | 36 | 14
5 | ) | 36 | 16
21 | and | 36 | 18
4 | ( | 36 | 22
47 | media | 36 | 23
17 | >= | 36 | 29
25 | 7 | 36 | 31
5 | ) | 36 | 32
40 | then | 37 | 5
31 | begin | 37 | 11
42 | writeln | 38 | 11
4 | ( | 38 | 19
30 | sua media aritimetica e  | 38 | 21
1 | , | 38 | 46
47 | media | 38 | 48
3 | : | 38 | 53
25 | 4 | 38 | 54
3 | : | 38 | 55
25 | 2 | 38 | 56
1 | , | 38 | 57
30 |  e voce foi aprovado | 38 | 60
5 | ) | 38 | 81
7 | ; | 38 | 82
32 | end | 39 | 11
39 | else | 41 | 11
38 | if | 41 | 16
4 | ( | 41 | 19
47 | media | 41 | 20
14 | < | 41 | 25
25 | 7 | 41 | 27
5 | ) | 41 | 28
21 | and | 41 | 30
4 | ( | 41 | 34
47 | media | 41 | 35
17 | >= | 41 | 41
25 | 3 | 41 | 43
5 | ) | 41 | 44
40 | then | 42 | 18
31 | begin | 42 | 24
42 | writeln | 43 | 24
4 | ( | 43 | 32
30 | sua media aritimetica e  | 43 | 34
1 | , | 43 | 59
47 | media | 43 | 61
3 | : | 43 | 66
25 | 4 | 43 | 67
3 | : | 43 | 68
25 | 2 | 43 | 69
1 | , | 43 | 70
30 |  voce deve tirar nota  | 43 | 73
1 | , | 43 | 96
47 | exame | 43 | 98
3 | : | 43 | 103
25 | 4 | 43 | 104
3 | : | 43 | 105
25 | 2 | 43 | 106
1 | , | 43 | 107
30 |  para ser aprovado | 43 | 110
5 | ) | 43 | 129
7 | ; | 43 | 130
32 | end | 44 | 24
39 | else | 46 | 24
38 | if | 46 | 29
4 | ( | 46 | 32
47 | media | 46 | 33
14 | < | 46 | 39
25 | 3 | 46 | 40
5 | ) | 46 | 41
21 | and | 46 | 43
4 | ( | 46 | 47
47 | media | 46 | 48
17 | >= | 46 | 54
28 | 0 | 46 | 56
5 | ) | 46 | 57
40 | then | 47 | 31
31 | begin | 47 | 36
42 | writeln | 48 | 36
4 | ( | 48 | 44
30 | sua media aritimetica e  | 48 | 46
1 | , | 48 | 71
47 | media | 48 | 73
3 | : | 48 | 78
25 | 4 | 48 | 79
3 | : | 48 | 80
25 | 2 | 48 | 81
1 | , | 48 | 82
30 |  lamento meu caro mas voce foi reprovado estude mais para a proxima. | 48 | 85
5 | ) | 48 | 154
32 | end | 49 | 36
7 | ; | 49 | 39
42 | writeln | 52 | 2
4 | ( | 52 | 10
30 |   | 52 | 12
5 | ) | 52 | 14
7 | ; | 52 | 15
41 | write | 53 | 2
4 | ( | 53 | 8
30 | para encerrar o programa precione qualquer tecla  | 53 | 10
5 | ) | 53 | 60
7 | ; | 53 | 61
47 | readkey | 54 | 2
7 | ; | 54 | 9
32 | end | 56 | 1
2 | . | 56 | 4
